epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,52.0556,0.89786,0.99917,1,0.03653,0.00332601,0.00332601,0.00332601
2,102.385,0.07319,1,1,0.0024,0.00652749,0.00652749,0.00652749
3,153.07,0.02547,1,1,0.00083,0.00959696,0.00959696,0.00959696
4,204.097,0.01596,1,1,0.00048,0.009406,0.009406,0.009406
5,254.958,0.01299,1,1,0.00013,0.009208,0.009208,0.009208
6,305.586,0.00944,1,1,6e-05,0.00901,0.00901,0.00901
7,355.334,0.00885,1,1,3e-05,0.008812,0.008812,0.008812
8,404.997,0.00634,1,1,1e-05,0.008614,0.008614,0.008614
9,454.585,0.00672,1,1,1e-05,0.008416,0.008416,0.008416
10,504.488,0.00664,1,1,1e-05,0.008218,0.008218,0.008218
11,554.55,0.00468,1,1,0,0.00802,0.00802,0.00802
12,605.59,0.00436,1,1,0,0.007822,0.007822,0.007822
