epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.5154,1.08679,0.95763,0.99767,0.1352,0.000237441,0.000237441,0.000237441
2,73.7847,0.13627,0.97672,1,0.07188,0.000459752,0.000459752,0.000459752
3,110.241,0.09108,0.96555,0.99953,0.10229,0.000666354,0.000666354,0.000666354
4,146.452,0.07514,0.98371,0.99953,0.05357,0.000643314,0.000643314,0.000643314
5,183.639,0.05457,0.98836,0.99953,0.03833,0.000619752,0.000619752,0.000619752
6,219.896,0.04568,0.98836,1,0.042,0.00059619,0.00059619,0.00059619
7,256.006,0.03331,0.98231,1,0.05907,0.000572628,0.000572628,0.000572628
8,292.63,0.04054,0.98929,1,0.03896,0.000549066,0.000549066,0.000549066
9,329.024,0.03182,0.98277,1,0.06773,0.000525504,0.000525504,0.000525504
10,365.153,0.02795,0.98929,1,0.03943,0.000501942,0.000501942,0.000501942
11,402.117,0.02644,0.99209,1,0.02991,0.00047838,0.00047838,0.00047838
12,439.744,0.02223,0.98976,1,0.03294,0.000454818,0.000454818,0.000454818
13,477.462,0.02209,0.98464,1,0.04834,0.000431256,0.000431256,0.000431256
14,515.739,0.01866,0.98929,1,0.03853,0.000407694,0.000407694,0.000407694
15,553.376,0.01954,0.98976,1,0.03887,0.000384132,0.000384132,0.000384132
16,591.45,0.01524,0.98557,0.99953,0.05003,0.00036057,0.00036057,0.00036057
17,629.017,0.01471,0.98976,1,0.03452,0.000337008,0.000337008,0.000337008
18,667.01,0.01491,0.98929,1,0.03531,0.000313446,0.000313446,0.000313446
19,705.064,0.01158,0.99022,0.99953,0.03284,0.000289884,0.000289884,0.000289884
20,743.009,0.00959,0.98743,1,0.0409,0.000266322,0.000266322,0.000266322
21,795.746,0.01124,0.99209,1,0.02473,0.00024276,0.00024276,0.00024276
