epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6868,0.87591,2.2649,1.11307,0.81735,0.74749,0.82707,0.64527,0.78254,1.07692,1.06902,0.00332646,0.00332646,0.00332646
2,84.897,0.81213,1.10554,1.06604,0.88612,0.81033,0.884,0.71609,0.72953,0.85564,1.01241,0.00652793,0.00652793,0.00652793
3,124.443,0.87823,1.1035,1.09296,0.76311,0.67701,0.7486,0.56457,0.93127,1.23237,1.1534,0.0095974,0.0095974,0.0095974
4,162.537,0.92265,1.11391,1.1256,0.85119,0.73839,0.83018,0.65938,0.80764,1.03651,1.06499,0.009406,0.009406,0.009406
5,201.029,0.85762,0.95165,1.09683,0.8618,0.73458,0.82703,0.65374,0.83284,1.00787,1.10056,0.009208,0.009208,0.009208
6,239.515,0.81217,0.85161,1.076,0.87081,0.76945,0.86048,0.69595,0.74979,0.91297,1.03021,0.00901,0.00901,0.00901
7,278.97,0.76589,0.77101,1.0545,0.91572,0.82489,0.9036,0.75144,0.69089,0.70518,0.99687,0.008812,0.008812,0.008812
8,319.11,0.7417,0.72868,1.04596,0.89003,0.81495,0.89577,0.74967,0.69642,0.73996,1.01179,0.008614,0.008614,0.008614
9,358.341,0.71995,0.68816,1.03651,0.93354,0.84413,0.92204,0.79847,0.59867,0.58795,0.9569,0.008416,0.008416,0.008416
10,397.924,0.6994,0.65678,1.02563,0.9343,0.86203,0.92337,0.8006,0.58999,0.56725,0.94855,0.008218,0.008218,0.008218
11,437.674,0.68262,0.63076,1.02025,0.92132,0.86696,0.92513,0.80671,0.58443,0.54282,0.93672,0.00802,0.00802,0.00802
12,477.232,0.66786,0.60951,1.01345,0.94596,0.8587,0.92989,0.81632,0.55999,0.53273,0.93193,0.007822,0.007822,0.007822
13,516.465,0.65208,0.59411,1.00522,0.95175,0.86269,0.93133,0.81888,0.55578,0.53492,0.92699,0.007624,0.007624,0.007624
14,555.302,0.645,0.57788,1.00408,0.92606,0.88633,0.93951,0.83252,0.53364,0.48257,0.90888,0.007426,0.007426,0.007426
15,594.667,0.63397,0.56488,1.0009,0.94689,0.88772,0.94302,0.84198,0.50983,0.47926,0.90563,0.007228,0.007228,0.007228
16,633.956,0.62679,0.5525,0.99784,0.93724,0.88351,0.94222,0.84112,0.5325,0.47661,0.91015,0.00703,0.00703,0.00703
17,673.359,0.6164,0.54601,0.99235,0.94501,0.89314,0.94641,0.84771,0.49731,0.44902,0.89731,0.006832,0.006832,0.006832
18,711.378,0.60275,0.53061,0.98707,0.94524,0.88984,0.94553,0.84996,0.48695,0.45908,0.89562,0.006634,0.006634,0.006634
